,match_id,batsman_id,inning,runs,balls_faced,over_faced_first,bowler_id,strike_rate,Fours,Sixes,match_dt,country_bat,batting_style_bat,bowling_style_bat,country_bowl,batting_style_bowl,bowling_style_bowl,batsman_rating
27,8638153,4381761.0,2,13,14,1.1,6718438.0,92.86,3.0,1.0,2021-01-29,NZ,Right-hand bat,None,NZ,Right-hand bat,Left-arm fast-medium,34.85186932573599
28,8638188,4381761.0,1,23,15,1.1,3834375.0,153.33,2.0,1.0,2021-02-06,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm fast-medium,34.85186932573599
29,8637810,4381761.0,1,1,5,2.1,5419574.0,20.0,1.0,1.0,2021-02-22,NZ,Right-hand bat,None,AUS,Right-hand bat,Right-arm fast,34.85186932573599
30,8637817,4381761.0,1,3,6,1.6,1905847.0,50.0,1.0,1.0,2021-02-25,NZ,Right-hand bat,None,AUS,Right-hand bat,Right-arm fast-medium,34.85186932573599
31,8637824,4381761.0,2,4,4,2.1,6732004.0,100.0,1.0,1.0,2021-03-03,NZ,Right-hand bat,None,AUS,Right-hand bat,Right-arm fast,34.85186932573599
32,8637831,4381761.0,2,19,28,1.5,1905847.0,67.86,3.0,0.0,2021-03-05,NZ,Right-hand bat,None,AUS,Right-hand bat,Right-arm fast-medium,34.85186932573599
33,8887913,4381761.0,2,23,29,4.3,5744850.0,79.31,2.0,1.0,2021-08-26,NZ,Right-hand bat,None,WI,Right-hand bat,Right-arm fast-medium,34.85186932573599
34,8887934,4381761.0,2,15,25,3.5,6401982.0,60.0,3.0,-0.0,2021-08-27,NZ,Right-hand bat,None,WI,Left-hand bat,Right-arm fast,34.85186932573599
35,8887955,4381761.0,2,40,16,17.5,nan,250.0,5.0,3.0,2021-08-29,NZ,Right-hand bat,None,None,None,None,34.85186932573599
36,8887969,4381761.0,1,37,25,12.6,3150538.0,148.0,4.0,2.0,2021-08-31,NZ,Right-hand bat,None,WI,Right-hand bat,Right-arm fast-medium,34.85186932573599
37,8888039,4381761.0,1,24,8,18.4,nan,300.0,2.0,2.0,2021-09-07,NZ,Right-hand bat,None,None,None,None,34.85186932573599
38,8888067,4381761.0,2,12,14,12.3,7550864.0,85.71,1.0,1.0,2021-09-09,NZ,Right-hand bat,None,WI,Right-hand bat,Slow left-arm orthodox,34.85186932573599
39,8888095,4381761.0,1,1,4,16.1,6347256.0,25.0,1.0,1.0,2021-09-11,NZ,Right-hand bat,None,WI,Left-hand bat,Left-arm medium-fast,34.85186932573599
40,8888116,4381761.0,2,11,12,14.3,4690104.0,91.67,1.0,1.0,2021-09-12,NZ,Right-hand bat,None,WI,Right-hand bat,Slow left-arm orthodox,34.85186932573599
41,8888123,4381761.0,2,10,8,17.1,1547993.0,125.0,1.0,1.0,2021-09-14,NZ,Right-hand bat,None,NAM,Right-hand bat,Right-arm medium-fast,34.85186932573599
42,8778727,4381761.0,1,2,4,18.6,3373285.0,50.0,1.0,1.0,2021-10-01,NZ,Right-hand bat,None,IND,Right-hand bat,Right-arm fast,34.85186932573599
43,8916123,4381761.0,1,8,8,18.4,7507303.0,100.0,1.0,1.0,2021-10-26,NZ,Right-hand bat,None,PAK,Left-hand bat,Left-arm fast,34.85186932573599
44,8916305,4381761.0,1,8,6,19.2,nan,133.33,1.0,1.0,2021-11-14,NZ,Right-hand bat,None,None,None,None,34.85186932573599
45,8950710,4381761.0,1,12,11,14.6,2282125.0,109.09,2.0,1.0,2021-11-17,NZ,Right-hand bat,None,IND,Right-hand bat,Right-arm medium,34.85186932573599
46,8950717,4381761.0,1,13,15,12.3,184960.0,86.67,1.0,1.0,2021-11-19,NZ,Right-hand bat,None,IND,Right-hand bat,Right-arm offbreak,34.85186932573599
47,8950724,4381761.0,2,17,18,5.5,nan,94.44,1.0,1.0,2021-11-21,NZ,Right-hand bat,None,None,None,None,34.85186932573599
48,9027290,4381761.0,1,14,7,2.5,3490150.0,200.0,2.0,1.0,2021-12-12,NZ,Right-hand bat,None,SA,Right-hand bat,Right-arm fast-medium,34.85186932573599
49,9027297,4381761.0,2,14,10,1.2,3456424.0,140.0,1.0,1.0,2021-12-17,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm fast,34.85186932573599
50,9027241,4381761.0,2,38,42,1.8,nan,90.48,3.0,1.0,2021-12-20,NZ,Right-hand bat,None,None,None,None,34.85186932573599
51,9027318,4381761.0,2,15,17,1.3,nan,88.24,1.0,1.0,2021-12-23,NZ,Right-hand bat,None,None,None,None,34.85186932573599
52,9027360,4381761.0,2,8,10,1.3,2537800.0,80.0,1.0,1.0,2021-12-30,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm fast-medium,34.85186932573599
53,9352356,4381761.0,2,39,31,2.5,7276380.0,125.81,4.0,2.0,2023-09-01,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm fast-medium,34.85186932573599
54,9027451,4381761.0,1,5,5,1.2,6739830.0,100.0,1.0,1.0,2022-01-29,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium-fast,34.85186932573599
55,9717504,4381761.0,1,0,3,1.2,5831622.0,0.0,1.0,1.0,2023-12-27,NZ,Right-hand bat,None,BAN,Right-hand bat,Right-arm offbreak,34.85186932573599
56,9352363,4381761.0,1,19,17,4.7,2827327.0,111.76,1.0,1.0,2023-09-03,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm offbreak,34.85186932573599
57,9388476,4381761.0,2,9,9,1.3,8414699.0,100.0,1.0,1.0,2023-01-13,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium,34.85186932573599
58,9262140,4381761.0,1,27,35,4.3,4739552.0,77.14,1.0,0.0,2022-09-14,NZ,Right-hand bat,None,WI,Right-hand bat,Right-arm fast-medium,34.85186932573599
59,9680271,4381761.0,2,55,42,1.2,5551062.0,130.95,5.0,1.0,2023-08-13,NZ,Right-hand bat,None,SL,Right-hand bat,Left-arm fast-medium,34.85186932573599
60,9027416,4381761.0,2,88,62,1.4,nan,141.94,7.0,1.0,2022-01-21,NZ,Right-hand bat,None,None,None,None,34.85186932573599
61,9644116,4381761.0,1,13,11,1.4,8426291.0,118.18,2.0,1.0,2023-08-20,NZ,Right-hand bat,None,UAE,Right-hand bat,Right-arm medium-fast,34.85186932573599
62,9866345,4381761.0,1,43,23,1.5,5984376.0,186.96,6.0,2.0,2023-12-22,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium-fast,34.85186932573599
63,9128405,4381761.0,2,3,5,1.3,4377610.0,60.0,1.0,1.0,2022-04-02,NZ,Right-hand bat,None,IND,Right-hand bat,Right-arm medium-fast,34.85186932573599
64,9084963,4381761.0,1,4,4,1.6,3231437.0,100.0,1.0,1.0,2022-06-08,NZ,Right-hand bat,None,ENG,Right-hand bat,Left-arm fast-medium,34.85186932573599
65,9262070,4381761.0,2,1,4,4.2,1742453.0,25.0,1.0,1.0,2022-09-07,NZ,Right-hand bat,None,WI,Right-hand bat,Right-arm medium,34.85186932573599
66,9262126,4381761.0,1,0,1,5.2,6818776.0,0.0,1.0,1.0,2022-09-13,NZ,Right-hand bat,None,AFG,Right-hand bat,Right-arm offbreak,34.85186932573599
67,9388441,4381761.0,2,1,2,1.6,3834354.0,50.0,1.0,1.0,2023-01-04,NZ,Right-hand bat,None,NZ,Left-hand bat,Right-arm medium,34.85186932573599
68,9352370,4381761.0,2,48,32,1.3,8845850.0,150.0,6.0,2.0,2023-09-05,NZ,Right-hand bat,None,ENG,Right-hand bat,Legbreak googly,34.85186932573599
69,9262210,4381761.0,2,13,17,1.1,393014.0,76.47,3.0,0.0,2022-09-24,NZ,Right-hand bat,None,BAN,Left-hand bat,Slow left-arm orthodox,34.85186932573599
70,9680201,4381761.0,1,18,23,5.4,8067002.0,78.26,2.0,1.0,2023-08-04,NZ,Right-hand bat,None,SL,Left-hand bat,Slow left-arm orthodox,34.85186932573599
71,9262028,4381761.0,2,34,39,6.1,4690230.0,87.18,2.0,1.0,2022-09-01,NZ,Right-hand bat,None,WI,Right-hand bat,Right-arm fast,34.85186932573599
72,9388399,4381761.0,2,36,24,2.1,4950252.0,150.0,4.0,2.0,2022-12-28,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm offbreak,34.85186932573599
73,9027395,4381761.0,1,10,14,1.5,5984376.0,71.43,1.0,0.0,2022-01-14,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium-fast,34.85186932573599
74,9262098,4381761.0,2,15,19,6.1,5509524.0,78.95,2.0,0.0,2022-09-10,NZ,Right-hand bat,None,AUS,Right-hand bat,Right-arm offbreak,34.85186932573599
75,9680187,4381761.0,1,74,39,9.4,2296195.0,189.74,5.0,5.0,2023-08-01,NZ,Right-hand bat,None,SL,Right-hand bat,Left-arm medium-fast,34.85186932573599
76,9128349,4381761.0,2,21,14,1.4,3696482.0,150.0,4.0,1.0,2022-03-27,NZ,Right-hand bat,None,IND,Right-hand bat,Legbreak googly,34.85186932573599
77,9262196,4381761.0,2,59,47,1.5,360086.0,125.53,4.0,3.0,2022-09-22,NZ,Right-hand bat,None,WI,Right-hand bat,Right-arm medium,34.85186932573599
78,9644109,4381761.0,1,7,6,1.4,9471244.0,116.67,1.0,1.0,2023-08-19,NZ,Right-hand bat,None,UAE,Left-hand bat,Left-arm fast-medium,34.85186932573599
79,9388371,4381761.0,1,0,3,1.3,6739830.0,0.0,1.0,1.0,2022-12-23,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium-fast,34.85186932573599
80,9256561,4381761.0,2,88,48,1.4,nan,183.33,10.0,3.0,2023-04-08,NZ,Right-hand bat,None,None,None,None,34.85186932573599
81,9680250,4381761.0,1,15,12,1.1,4403573.0,125.0,2.0,1.0,2023-08-11,NZ,Right-hand bat,None,SL,Right-hand bat,Left-arm medium-fast,34.85186932573599
82,9084851,4381761.0,2,35,21,1.3,4489708.0,166.67,6.0,1.0,2022-06-03,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm medium,34.85186932573599
83,9388420,4381761.0,1,59,30,1.2,2537800.0,196.67,9.0,2.0,2022-12-31,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm fast-medium,34.85186932573599
84,9027409,4381761.0,2,15,12,1.2,6718382.0,125.0,1.0,1.0,2022-01-16,NZ,Right-hand bat,None,NZ,Left-hand bat,Slow left-arm orthodox,34.85186932573599
85,8638034,4949790.0,1,9,10,12.1,4950294.0,90.0,1.0,1.0,2021-01-01,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Legbreak googly,56.51469148336154
86,8638041,4949790.0,1,3,5,10.6,2236086.0,60.0,1.0,1.0,2021-01-02,NZ,Right-hand bat,Right-arm offbreak,NZ,Left-hand bat,Left-arm fast-medium,56.51469148336154
87,8638055,4949790.0,2,23,28,5.4,5984376.0,82.14,1.0,0.0,2021-01-04,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Right-arm medium-fast,56.51469148336154
88,9027290,4949790.0,1,24,24,6.4,4950252.0,100.0,1.0,1.0,2021-12-12,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Right-arm offbreak,56.51469148336154
89,9027297,4949790.0,2,3,7,14.2,3069954.0,42.86,1.0,0.0,2021-12-17,NZ,Right-hand bat,Right-arm offbreak,NZ,Left-hand bat,Slow left-arm orthodox,56.51469148336154
90,9027241,4949790.0,2,1,1,16.1,nan,100.0,1.0,1.0,2021-12-20,NZ,Right-hand bat,Right-arm offbreak,None,None,None,56.51469148336154
91,9027318,4949790.0,2,7,10,13.3,1495731.0,70.0,1.0,1.0,2021-12-23,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Legbreak,56.51469148336154
92,9027360,4949790.0,2,25,12,15.4,nan,208.33,4.0,1.0,2021-12-30,NZ,Right-hand bat,Right-arm offbreak,None,None,None,56.51469148336154
93,9027451,4949790.0,1,16,14,14.3,3834319.0,114.29,2.0,1.0,2022-01-29,NZ,Right-hand bat,Right-arm offbreak,NZ,Left-hand bat,Left-arm medium-fast,56.51469148336154
94,9388476,4949790.0,2,0,4,6.3,7871310.0,0.0,1.0,1.0,2023-01-13,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Right-arm medium,56.51469148336154
95,9388441,4949790.0,2,52,45,6.4,nan,115.56,5.0,2.0,2023-01-04,NZ,Right-hand bat,Right-arm offbreak,None,None,None,56.51469148336154
96,9027395,4949790.0,1,3,5,16.6,4170494.0,60.0,1.0,1.0,2022-01-14,NZ,Right-hand bat,Right-arm offbreak,NZ,Left-hand bat,Slow left-arm orthodox,56.51469148336154
97,9388420,4949790.0,1,1,4,15.4,4949804.0,25.0,1.0,1.0,2022-12-31,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Right-arm offbreak,56.51469148336154
98,9027409,4949790.0,2,17,19,14.5,nan,89.47,2.0,1.0,2022-01-16,NZ,Right-hand bat,Right-arm offbreak,None,None,None,56.51469148336154
99,9866366,4949790.0,2,15,8,1.4,5984376.0,187.5,2.0,1.0,2023-12-27,NZ,Right-hand bat,Right-arm offbreak,NZ,Right-hand bat,Right-arm medium-fast,56.51469148336154
100,8638034,3834305.0,1,28,22,13.6,1585464.0,127.27,3.0,1.0,2021-01-01,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Right-arm medium-fast,41.46860335953584
101,8638041,3834305.0,1,8,7,14.5,2666705.0,114.29,1.0,1.0,2021-01-02,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Left-arm wrist-spin,41.46860335953584
102,8638055,3834305.0,2,15,17,14.4,nan,88.24,2.0,1.0,2021-01-04,NZ,Right-hand bat,Right-arm medium-fast,None,None,None,41.46860335953584
103,8638069,3834305.0,2,3,5,9.2,2288789.0,60.0,1.0,1.0,2021-01-09,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Right-arm offbreak,41.46860335953584
104,8638097,3834305.0,1,7,12,9.5,1495731.0,58.33,1.0,0.0,2021-01-15,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Legbreak,41.46860335953584
105,9027318,3834305.0,2,11,17,7.4,7871303.0,64.71,1.0,0.0,2021-12-23,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Left-arm wrist-spin,41.46860335953584
106,9027360,3834305.0,2,11,9,3.5,8354821.0,122.22,2.0,1.0,2021-12-30,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm medium-fast,41.46860335953584
107,9388476,3834305.0,2,9,6,7.3,3682160.0,150.0,1.0,1.0,2023-01-13,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm offbreak,41.46860335953584
108,9866345,3834305.0,1,27,16,16.3,8354821.0,168.75,3.0,3.0,2023-12-22,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm medium-fast,41.46860335953584
109,9388371,3834305.0,1,25,14,11.6,nan,178.57,2.0,1.0,2022-12-23,NZ,Right-hand bat,Right-arm medium-fast,None,None,None,41.46860335953584
110,9388420,3834305.0,1,0,2,16.3,4949804.0,0.0,1.0,1.0,2022-12-31,NZ,Right-hand bat,Right-arm medium-fast,NZ,Right-hand bat,Right-arm offbreak,41.46860335953584
111,9866366,3834305.0,2,7,9,8.2,8447396.0,77.78,1.0,1.0,2023-12-27,NZ,Right-hand bat,Right-arm medium-fast,NZ,Left-hand bat,Slow left-arm orthodox,41.46860335953584
112,8638034,3776849.0,1,18,13,17.2,nan,138.46,2.0,1.0,2021-01-01,NZ,Right-hand bat,Right-arm fast-medium,None,None,None,54.22755555555556
113,8638041,3776849.0,1,14,10,16.2,4195827.0,140.0,2.0,1.0,2021-01-02,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm medium,54.22755555555556
114,8638069,3776849.0,2,2,5,11.1,2288789.0,40.0,1.0,1.0,2021-01-09,NZ,Right-hand bat,Right-arm fast-medium,NZ,Left-hand bat,Right-arm offbreak,54.22755555555556
115,8638097,3776849.0,1,2,2,20.3,nan,100.0,1.0,1.0,2021-01-15,NZ,Right-hand bat,Right-arm fast-medium,None,None,None,54.22755555555556
116,8638111,3776849.0,2,5,3,10.1,nan,166.67,1.0,1.0,2021-01-17,NZ,Right-hand bat,Right-arm fast-medium,None,None,None,54.22755555555556
117,8638153,3776849.0,2,10,9,12.4,7565697.0,111.11,1.0,1.0,2021-01-29,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm medium,54.22755555555556
118,8638188,3776849.0,1,41,25,12.6,3834375.0,164.0,1.0,3.0,2021-02-06,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm fast-medium,54.22755555555556
119,9027290,3776849.0,1,14,13,15.3,nan,107.69,1.0,1.0,2021-12-12,NZ,Right-hand bat,Right-arm fast-medium,None,None,None,54.22755555555556
120,9027297,3776849.0,2,1,2,17.3,7878765.0,50.0,1.0,1.0,2021-12-17,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Left-arm fast-medium,54.22755555555556
121,9027318,3776849.0,2,6,7,15.4,3682160.0,85.71,1.0,1.0,2021-12-23,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm offbreak,54.22755555555556
122,9027451,3776849.0,1,6,4,20.1,nan,150.0,1.0,1.0,2022-01-29,NZ,Right-hand bat,Right-arm fast-medium,None,None,None,54.22755555555556
123,9388476,3776849.0,2,25,20,10.3,3682160.0,125.0,1.0,2.0,2023-01-13,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm offbreak,54.22755555555556
124,9866345,3776849.0,1,3,3,17.6,4170494.0,100.0,1.0,1.0,2023-12-22,NZ,Right-hand bat,Right-arm fast-medium,NZ,Left-hand bat,Slow left-arm orthodox,54.22755555555556
125,9262077,3776849.0,2,5,2,20.5,nan,250.0,1.0,1.0,2022-09-07,NZ,Right-hand bat,Right-arm fast-medium,None,None,None,54.22755555555556
126,9262028,3776849.0,1,0,1,13.2,3715697.0,0.0,1.0,1.0,2022-09-01,NZ,Right-hand bat,Right-arm fast-medium,WI,Left-hand bat,Slow left-arm orthodox,54.22755555555556
127,9027395,3776849.0,1,3,3,18.4,2537800.0,100.0,1.0,1.0,2022-01-14,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm fast-medium,54.22755555555556
128,9388420,3776849.0,1,27,11,16.5,4949804.0,245.45,3.0,4.0,2022-12-31,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm offbreak,54.22755555555556
129,9866366,3776849.0,2,36,16,2.6,5984376.0,225.0,5.0,2.0,2023-12-27,NZ,Right-hand bat,Right-arm fast-medium,NZ,Right-hand bat,Right-arm medium-fast,54.22755555555556
130,8638034,6718326.0,2,91,50,1.2,nan,182.0,7.0,5.0,2021-01-01,NZ,Right-hand bat,None,None,None,None,38.58907984381826
131,8638069,6718326.0,1,75,39,1.1,3834305.0,192.31,10.0,2.0,2021-01-09,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm medium-fast,38.58907984381826
132,8638090,6718326.0,2,92,43,1.1,nan,213.95,5.0,8.0,2021-01-14,NZ,Right-hand bat,None,None,None,None,38.58907984381826
133,8638104,6718326.0,1,27,16,1.1,3546297.0,168.75,2.0,2.0,2021-01-16,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm fast-medium,38.58907984381826
134,8638139,6718326.0,2,4,3,1.1,2236086.0,133.33,1.0,1.0,2021-01-24,NZ,Right-hand bat,None,NZ,Left-hand bat,Left-arm fast-medium,38.58907984381826
135,8638146,6718326.0,2,4,9,1.1,3834319.0,44.44,1.0,0.0,2021-01-25,NZ,Right-hand bat,None,NZ,Left-hand bat,Left-arm medium-fast,38.58907984381826
136,8638167,6718326.0,2,66,27,1.1,8447396.0,244.44,9.0,3.0,2021-01-31,NZ,Right-hand bat,None,NZ,Left-hand bat,Slow left-arm orthodox,38.58907984381826
137,8638195,6718326.0,1,73,35,1.1,4949776.0,208.57,8.0,4.0,2021-02-07,NZ,Right-hand bat,None,NZ,Left-hand bat,Right-arm medium,38.58907984381826
138,8638209,6718326.0,2,16,11,1.1,3682160.0,145.45,3.0,1.0,2021-02-13,NZ,Right-hand bat,None,NZ,Right-hand bat,Right-arm offbreak,38.58907984381826
139,8637866,6718326.0,1,0,1,1.6,2436356.0,0.0,1.0,1.0,2021-03-28,NZ,Right-hand bat,None,BAN,Left-hand bat,Slow left-arm orthodox,38.58907984381826
140,8637873,6718326.0,1,17,10,1.4,3769555.0,170.0,2.0,1.0,2021-03-30,NZ,Right-hand bat,None,BAN,Left-hand bat,Right-arm fast,38.58907984381826
141,8637880,6718326.0,1,71,29,1.6,3769555.0,244.83,10.0,3.0,2021-04-01,NZ,Right-hand bat,None,BAN,Left-hand bat,Right-arm fast,38.58907984381826
142,8751672,6718326.0,2,29,13,1.6,3997727.0,223.08,5.0,1.0,2021-06-09,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm medium-fast,38.58907984381826
143,8751700,6718326.0,1,73,51,1.6,nan,143.14,7.0,1.0,2021-06-10,NZ,Right-hand bat,None,None,None,None,38.58907984381826
144,8751791,6718326.0,1,10,7,1.5,4756982.0,142.86,2.0,1.0,2021-06-13,NZ,Right-hand bat,None,AUS,Left-hand bat,Left-arm fast-medium,38.58907984381826
145,8751875,6718326.0,2,0,1,1.5,3083667.0,0.0,1.0,1.0,2021-06-15,NZ,Right-hand bat,None,NED,Right-hand bat,Right-arm medium-fast,38.58907984381826
146,8751903,6718326.0,1,25,23,1.4,7194480.0,108.7,3.0,1.0,2021-06-17,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm fast-medium,38.58907984381826
147,8752148,6718326.0,1,16,13,1.1,2082387.0,123.08,1.0,1.0,2021-06-25,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm medium-fast,38.58907984381826
148,8752183,6718326.0,2,2,4,1.4,4420828.0,50.0,1.0,1.0,2021-06-26,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm offbreak,38.58907984381826
149,8752281,6718326.0,1,25,18,1.1,7661996.0,138.89,4.0,1.0,2021-07-01,NZ,Right-hand bat,None,ENG,Right-hand bat,Right-arm medium-fast,38.58907984381826
